구분,운임지수,등록일
SCFI,2870.34,2021-01-08
SCFI,2885.0,2021-01-15
SCFI,2868.95,2021-01-22
SCFI,2861.69,2021-01-29
SCFI,2884.61,2021-02-05
SCFI,2825.75,2021-02-10
SCFI,2875.93,2021-02-19
SCFI,2775.29,2021-02-26
SCFI,2721.94,2021-03-05
SCFI,2637.53,2021-03-12
SCFI,2583.87,2021-03-19
SCFI,2570.68,2021-03-26
SCFI,2585.42,2021-04-02
SCFI,2652.12,2021-04-09
SCFI,2833.42,2021-04-16
SCFI,2979.76,2021-04-23
SCFI,3100.74,2021-04-30
SCFI,3095.16,2021-05-07
SCFI,3343.34,2021-05-14
SCFI,3432.5,2021-05-21
SCFI,3495.76,2021-05-28
SCFI,3613.07,2021-06-04
SCFI,3703.93,2021-06-11
SCFI,3748.36,2021-06-18
SCFI,3785.4,2021-06-25
SCFI,3905.14,2021-07-02
SCFI,3932.35,2021-07-09
SCFI,4054.42,2021-07-16
SCFI,4100.0,2021-07-23
SCFI,4196.24,2021-07-30
SCFI,4225.86,2021-08-06
SCFI,4281.53,2021-08-13
SCFI,4340.18,2021-08-20
SCFI,4385.62,2021-08-27
SCFI,4502.65,2021-09-03
SCFI,4568.16,2021-09-10
SCFI,4622.51,2021-09-17
SCFI,4643.79,2021-09-24
SCFI,4614.1,2021-09-30
SCFI,4647.6,2021-10-08
SCFI,4588.07,2021-10-15
SCFI,4583.39,2021-10-22
SCFI,4567.28,2021-10-29
SCFI,4535.92,2021-11-05
SCFI,4554.04,2021-11-12
SCFI,4555.21,2021-11-19
SCFI,4601.97,2021-11-26
SCFI,4727.06,2021-12-03
SCFI,4810.98,2021-12-10
SCFI,4894.62,2021-12-17
SCFI,4956.02,2021-12-24
SCFI,5046.66,2021-12-31
SCFI,5109.6,2022-01-07
SCFI,5094.36,2022-01-14
SCFI,5053.12,2022-01-21
SCFI,5010.36,2022-01-28
SCFI,4980.93,2022-02-11
SCFI,4946.01,2022-02-18
SCFI,4818.47,2022-02-25
SCFI,4746.98,2022-03-04
SCFI,4625.06,2022-03-11
SCFI,4540.31,2022-03-18
SCFI,4434.07,2022-03-25
SCFI,4348.71,2022-04-01
SCFI,4263.66,2022-04-08
SCFI,4228.65,2022-04-15
SCFI,4195.98,2022-04-22
SCFI,4177.3,2022-04-29
SCFI,4163.74,2022-05-06
SCFI,4147.83,2022-05-13
SCFI,4162.69,2022-05-20
SCFI,4175.35,2022-05-27
SCFI,4208.01,2022-06-02
SCFI,4233.31,2022-06-10
SCFI,4221.96,2022-06-17
SCFI,4216.13,2022-06-24
SCFI,4203.27,2022-07-01
SCFI,4143.87,2022-07-08
SCFI,4074.7,2022-07-15
SCFI,3996.77,2022-07-22
SCFI,3887.85,2022-07-29
SCFI,3739.72,2022-08-05
SCFI,3562.67,2022-08-12
SCFI,3429.83,2022-08-19
SCFI,3154.26,2022-08-26
SCFI,2847.62,2022-09-02
SCFI,2562.12,2022-09-09
SCFI,2312.65,2022-09-16
SCFI,2072.04,2022-09-23
SCFI,1922.95,2022-09-30
SCFI,1814.0,2022-10-14
SCFI,1778.69,2022-10-21
SCFI,1697.65,2022-10-28
SCFI,1579.21,2022-11-04
SCFI,1443.29,2022-11-11
SCFI,1306.84,2022-11-18
SCFI,1229.9,2022-11-25
SCFI,1171.36,2022-12-02
SCFI,1138.09,2022-12-09
SCFI,1123.29,2022-12-16
SCFI,1107.09,2022-12-23
SCFI,1107.55,2022-12-30
SCFI,1061.14,2023-01-06
SCFI,1061.14,2023-01-06
SCFI,1031.42,2023-01-13
SCFI,1031.42,2023-01-13
SCFI,1029.75,2023-01-20
SCFI,1029.75,2023-01-20
SCFI,1006.89,2023-02-03
SCFI,1006.89,2023-02-03
SCFI,995.16,2023-02-10
SCFI,995.16,2023-02-10
SCFI,974.66,2023-02-17
SCFI,974.66,2023-02-17
SCFI,946.68,2023-02-24
SCFI,946.68,2023-02-24
SCFI,931.08,2023-03-03
SCFI,931.08,2023-03-03
SCFI,906.55,2023-03-10
SCFI,906.55,2023-03-10
SCFI,909.72,2023-03-17
SCFI,909.72,2023-03-17
SCFI,908.35,2023-03-24
SCFI,908.35,2023-03-24
SCFI,923.78,2023-03-31
SCFI,923.78,2023-03-31
SCFI,956.93,2023-04-07
SCFI,956.93,2023-04-07
SCFI,1033.65,2023-04-14
SCFI,1033.65,2023-04-14
SCFI,1037.07,2023-04-21
SCFI,1037.07,2023-04-21
SCFI,999.73,2023-04-28
SCFI,999.73,2023-04-28
SCFI,998.29,2023-05-05
SCFI,998.29,2023-05-05
SCFI,983.41,2023-05-12
SCFI,983.41,2023-05-12
SCFI,972.45,2023-05-19
SCFI,972.45,2023-05-19
SCFI,983.46,2023-05-26
SCFI,983.46,2023-05-26
SCFI,1028.7,2023-06-02
SCFI,1028.7,2023-06-02
SCFI,979.85,2023-06-09
SCFI,979.85,2023-06-09
SCFI,934.31,2023-06-16
SCFI,934.31,2023-06-16
SCFI,924.29,2023-06-21
SCFI,924.29,2023-06-21
SCFI,953.6,2023-06-30
SCFI,953.6,2023-06-30
SCFI,931.73,2023-07-07
SCFI,931.73,2023-07-07
SCFI,979.11,2023-07-14
SCFI,979.11,2023-07-14
SCFI,966.45,2023-07-21
SCFI,966.45,2023-07-21
SCFI,1029.23,2023-07-28
SCFI,1029.23,2023-07-28
SCFI,1039.32,2023-08-04
SCFI,1039.32,2023-08-04
SCFI,1043.54,2023-08-11
SCFI,1043.54,2023-08-11
SCFI,1031.0,2023-08-18
SCFI,1031.0,2023-08-18
SCFI,1013.78,2023-08-25
SCFI,1013.78,2023-08-25
SCFI,1033.67,2023-09-01
SCFI,1033.67,2023-09-01
SCFI,999.25,2023-09-08
SCFI,999.25,2023-09-08
SCFI,948.68,2023-09-15
SCFI,948.68,2023-09-15
SCFI,911.71,2023-09-22
SCFI,911.71,2023-09-22
SCFI,886.85,2023-09-29
SCFI,886.85,2023-09-29
SCFI,891.55,2023-10-13
SCFI,891.55,2023-10-13
SCFI,917.66,2023-10-20
SCFI,917.66,2023-10-20
SCFI,1012.6,2023-10-27
SCFI,1012.6,2023-10-27
SCFI,1067.88,2023-11-03
SCFI,1067.88,2023-11-03
SCFI,1030.24,2023-11-10
SCFI,1030.24,2023-11-10
SCFI,999.92,2023-11-17
SCFI,999.92,2023-11-17
SCFI,993.21,2023-11-24
SCFI,993.21,2023-11-24
SCFI,1010.81,2023-12-01
SCFI,1010.81,2023-12-01
SCFI,1032.21,2023-12-08
SCFI,1032.21,2023-12-08
SCFI,1093.52,2023-12-15
SCFI,1093.52,2023-12-15
SCFI,1254.99,2023-12-22
SCFI,1254.99,2023-12-22
SCFI,1759.57,2023-12-29
SCFI,1759.57,2023-12-29
SCFI,1896.65,2024-01-05
SCFI,2206.03,2024-01-12
SCFI,2239.61,2024-01-19
SCFI,2179.09,2024-01-26
SCFI,2217.73,2024-02-02
SCFI,2166.31,2024-02-09
SCFI,2109.91,2024-02-23
SCFI,1979.12,2024-03-01
SCFI,1885.74,2024-03-08
SCFI,1772.92,2024-03-15
SCFI,1732.57,2024-03-22
SCFI,1730.98,2024-03-29
SCFI,1745.43,2024-04-03
SCFI,1757.04,2024-04-12
SCFI,1769.54,2024-04-19
SCFI,1940.63,2024-04-26
SCFI,2305.79,2024-05-10
SCFI,2520.76,2024-05-17
SCFI,2703.43,2024-05-24
SCFI,3044.77,2024-05-31
SCFI,3184.87,2024-06-07
SCFI,3379.22,2024-06-14
SCFI,3475.6,2024-06-21
SCFI,3714.32,2024-06-28
SCFI,3733.8,2024-07-05
SCFI,3674.86,2024-07-12
SCFI,3542.44,2024-07-19
SCFI,3447.87,2024-07-26
SCFI,3332.67,2024-08-02
SCFI,3253.89,2024-08-09
SCFI,3281.36,2024-08-16
SCFI,3097.63,2024-08-23
SCFI,2963.38,2024-08-30
SCFI,2726.58,2024-09-06
SCFI,2510.95,2024-09-13
SCFI,2366.24,2024-09-20
SCFI,2135.08,2024-09-27
SCFI,2062.57,2024-10-11
SCFI,2062.15,2024-10-18
SCFI,2185.33,2024-10-25
SCFI,2303.44,2024-11-01
SCFI,2331.58,2024-11-08
SCFI,2251.9,2024-11-15
SCFI,2160.08,2024-11-22
SCFI,2233.83,2024-11-29
SCFI,2256.46,2024-12-06
SCFI,2384.4,2024-12-13
SCFI,2390.17,2024-12-20
SCFI,2460.34,2024-12-27
SCFI,2505.17,2025-01-03
SCFI,2290.68,2025-01-10
SCFI,2130.81,2025-01-17
SCFI,2045.45,2025-01-24
SCFI,1896.65,2025-02-07
SCFI,1758.82,2025-02-14
SCFI,1595.08,2025-02-21
SCFI,1515.29,2025-02-28
SCFI,1436.3,2025-03-07
SCFI,1319.34,2025-03-14
SCFI,1292.75,2025-03-21
SCFI,1356.88,2025-03-28
SCFI,1392.78,2025-04-03
SCFI,1394.68,2025-04-11
SCFI,1370.58,2025-04-18
SCFI,1347.84,2025-04-25
SCFI,1340.93,2025-04-30
SCFI,1345.17,2025-05-09
SCFI,1479.39,2025-05-16
SCFI,1586.12,2025-05-23
SCFI,2072.71,2025-05-30
SCFI,2240.35,2025-06-06
SCFI,2088.24,2025-06-13
SCFI,1869.59,2025-06-20
SCFI,1861.51,2025-06-27
SCFI,1763.49,2025-07-04
SCFI,1733.29,2025-07-11
SCFI,1646.9,2025-07-18
SCFI,1592.59,2025-07-25
SCFI,1550.74,2025-08-01
SCFI,1489.68,2025-08-08
SCFI,1460.19,2025-08-15
SCFI,1415.36,2025-08-22
SCFI,1445.06,2025-08-29
SCFI,1444.44,2025-09-05
SCFI,1398.11,2025-09-12
SCFI,1198.21,2025-09-19
SCFI,1114.52,2025-09-26
SCFI,1160.42,2025-10-10
SCFI,1310.32,2025-10-17
SCFI,1403.46,2025-10-24
SCFI,1550.7,2025-10-31
SCFI,1495.1,2025-11-07
SCFI,1451.38,2025-11-14
SCFI,1393.56,2025-11-21
